Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
A0000131.inf,"=32771,«sdk«\admin
iis_sdk02_files=32771,«sdk«\asp
i","/img_var1.E01/vol_vol2/System Volume Information/_restore{6636DFB4-3563-4401-B767-70A62BFCF4C9}/RP5/A0000131.inf","2004-08-04 16:00:00 MSD","2008-10-21 04:42:38 MSD","2008-10-21 04:42:38 MSD","2004-08-04 16:00:00 MSD",836490,Allocated,Allocated,unknown,"c4ca5d8745aecdbde8cfdbcc611850f7","13aaba533be7c08317fe7fbc1aadbc05a8ec317dba951d2dc7d382b90f2b0b35",text/plain,inf
xpsp3res.dll,"Sie im Microsoft Platform «SDK« nach ""SeImpersonatePrivilege""","/img_var1.E01/vol_vol2/WINDOWS/system32/mui/0407/xpsp3res.dll","2008-04-13 22:39:19 MSD","2008-10-21 05:01:41 MSD","2008-10-21 05:01:41 MSD","2008-04-13 22:39:19 MSD",663552,Allocated,Allocated,unknown,"735e74672fccd123e50a78aef424da8f","07835f7ac410cbe0f1e673bc27a751ab521722abe799f7a6f611048eaa3016d0",application/x-msdownload,dll
cliegaliases.mof,"Please refer to the Platform «SDK« documentation for additional","/img_var1.E01/vol_vol2/WINDOWS/system32/wbem/cliegaliases.mof","2004-08-04 16:00:00 MSD","2008-10-21 01:34:52 MSD","2008-10-21 03:01:28 MSD","2008-10-21 01:34:52 MSD",2570538,Allocated,Allocated,unknown,"da3e2f74f7b43ec908caa80c359d6cc9","24fc213accc838ff0fe00614917f2c20b627e62e7654097c19892615e559e38b",text/plain,mof
cli.mof,"Scripting API in the WMI «SDK« help file for more information","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/cli.mof","2004-08-04 16:00:00 MSD","2008-10-21 03:43:10 MSD","2008-10-21 05:00:11 MSD","2008-10-21 03:25:14 MSD",29290,Allocated,Allocated,unknown,"9563b746ad17ad7491aa6ffe0d031674","b6a53c85f3e7775c4afef02b389b17408a342bd8f0e1a2109e1006ec27be3876",text/plain,mof
xpsp3res.dll,""" 
 Microsoft Platform «SDK«.
 Write Property 
: Adm","/img_var1.E01/vol_vol2/WINDOWS/system32/mui/0408/xpsp3res.dll","2008-04-13 22:39:12 MSD","2008-10-21 05:01:41 MSD","2008-10-21 05:01:41 MSD","2008-04-13 22:39:12 MSD",679936,Allocated,Allocated,unknown,"8e6d125cbda0d0960687e22ab15a460d","3bd20210c5d3b7a70df1b3fec6a0ae2ec996739c78668c29a6fe930b49337d3c",application/x-msdownload,dll
THOCR.PSP,"OCR Module for ScanSoft «SDK«
FileVersion
12.0.4518.1014","/img_var1.E01/vol_vol2/Program Files/Common Files/Microsoft Shared/MODI/12.0/THOCR.PSP","2006-10-27 01:59:06 MSD","2008-10-28 19:47:20 MSK","2008-10-28 19:47:20 MSK","2006-10-27 01:59:06 MSD",189952,Allocated,Allocated,unknown,"d45e885268ce782598bc627d0798fd6d","1b00ce7fa2d09458cbd4d7235ea1846725d7d73e902085eb280b07176c0133f0",application/x-msdownload,psp
1041.mst,"BMouse
BMemCtlGuestSDK
g «SDK«
BVSS
gWindows 
g OS 
 VSS","/img_var1.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/00005633/1041.mst","2008-10-21 01:58:51 MSD","2008-10-21 01:58:51 MSD","2008-10-21 01:58:51 MSD","2008-10-21 01:58:51 MSD",53760,Allocated,Allocated,unknown,"31e13eb24f6e0e340b538f7c045ea26e","6a9ae46abe9a341bf0aeefb6edfc3687120d238b177dede407b871abff5f91fe","application/x-ms-installer",mst
normal.js,"Oh/csi/projects/boxely/«sdk«/win/bin/release/service","/img_var1.E01/vol_vol2/Program Files/AIM6/services/toaster/ver4_3_1_1/content/normal.js","2007-02-07 22:45:19 MSK","2008-10-21 19:09:15 MSD","2008-10-21 19:09:15 MSD","2007-02-07 22:45:19 MSK",14623,Allocated,Allocated,unknown,"1060fe7064d03632bc81962f2d7dc335","936b82ab643d6b4a87dbd797f4ca4310b7c8370855e573e1c32d87f6a87aee94",text/javascript,js
cliegali.mof,"Please refer to the Platform «SDK« documentation for additional","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/cliegali.mof","2004-08-04 16:00:00 MSD","2008-10-21 03:43:10 MSD","2008-10-21 05:00:19 MSD","2008-10-21 03:25:14 MSD",2570538,Allocated,Allocated,unknown,"da3e2f74f7b43ec908caa80c359d6cc9","24fc213accc838ff0fe00614917f2c20b627e62e7654097c19892615e559e38b",text/plain,mof
2052.mst,"Mouse
MemCtlGuestSDK
 «SDK«
 Windows 
 VSS 
VMXNetVMXNet","/img_var1.E01/vol_vol2/Documents and Settings/Administrator/Local Settings/Temp/00005633/2052.mst","2008-10-21 01:58:51 MSD","2008-10-21 01:58:51 MSD","2008-10-21 01:58:51 MSD","2008-10-21 01:58:51 MSD",34304,Allocated,Allocated,unknown,"4a222d6da440e8366db219e22e69e353","bb78808b3dfb321ff07faafbbf43540e67b7a1d026b698ca0b271e750a51bf41","application/x-ms-installer",mst
xpsp3res.dll,"the Microsoft Platform «SDK«.
Warning:
If you enable","/img_var1.E01/vol_vol2/WINDOWS/SoftwareDistribution/Download/cf8ec753e88561d2ddb53e183dc05c3e/xpsp3res.dll","2008-04-13 21:39:26 MSD","2008-10-21 03:43:23 MSD","2008-10-21 05:01:08 MSD","2008-04-13 21:39:26 MSD",689152,Allocated,Allocated,unknown,"1b3b381e1aab46f7b321a46150d890cb","ede49b3fdee9d34c99c9e98132bf5ef5343c721b6e43d039d91d3c7ed23d7f20",application/x-msdownload,dll
framedyn.dll,"d:\xpsprtm\admin\wmi\wbem\«sdk«\framedyn\clsfctry.cpp
C","/img_var1.E01/vol_vol2/WINDOWS/system32/wbem/framedyn.dll","2004-08-04 16:00:00 MSD","2008-10-21 05:32:41 MSD","2008-10-21 04:43:05 MSD","2008-10-21 01:34:50 MSD",185856,Unallocated,Allocated,unknown,"05cb782f2c7024aa92b1722a926bbd3a","64bb489eaf4ca4df2b74e5e66355975a75bd50c274b039aee4d47c672299f38d",application/x-msdownload,dll
comres.dll,"partition for the admin «SDK«. The admin «SDK« will use the base","/img_var1.E01/vol_vol2/WINDOWS/$NtServicePackUninstall$/comres.dll","2004-08-04 16:00:00 MSD","2008-10-21 04:37:49 MSD","2008-10-21 04:37:49 MSD","2008-10-21 04:37:49 MSD",792064,Allocated,Allocated,unknown,"6728270cb7dbb776ed086f5ac4c82310","84dc201d861ac9c550f9fe2c2d75e6465f254851ba5b43120130c3235bd2e717",application/x-msdownload,dll
comsvcs.dll,"ic\«sdk«\inc\atl30\atlcom.h
D:\QXP_SLP\public\«sdk«\in","/img_var1.E01/vol_vol2/WINDOWS/$NtServicePackUninstall$/comsvcs.dll","2004-08-04 16:00:00 MSD","2008-10-21 04:37:48 MSD","2008-10-21 04:37:48 MSD","2008-10-21 04:37:48 MSD",1251840,Allocated,Allocated,unknown,"652603d2a664d9bfc1d5eb0a9faea016","3fca278221bc9ee3f79c1ad50be056a315ca8eac495464ff6a8084771470237d",application/x-msdownload,dll
