Id,Predicted
0,1
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,1
113,0
114,0
115,1
116,1
117,1
118,1
119,0
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,0
494,0
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,0
529,1
530,0
531,1
532,0
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,0
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,1
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,0
606,1
607,0
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,0
617,1
618,1
619,0
620,1
621,1
622,0
623,0
624,1
625,0
626,0
627,1
628,0
629,1
630,1
631,0
632,1
633,0
634,0
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,1
658,1
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,0
694,1
695,0
696,0
697,1
698,1
699,0
700,1
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,0
717,1
718,0
719,0
720,0
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,1
732,0
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,1
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,0
841,1
842,0
843,1
844,1
845,1
846,0
847,1
848,1
849,1
850,0
851,0
852,0
853,1
854,1
855,0
856,0
857,1
858,0
859,0
860,0
861,1
862,1
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,1
876,0
877,1
878,1
879,1
880,1
881,0
882,0
883,0
884,0
885,1
886,1
887,1
888,0
889,0
890,1
891,1
892,1
893,0
894,1
895,0
896,0
897,1
898,1
899,1
900,0
901,1
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,1
910,1
911,1
912,1
913,0
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,1
922,0
923,0
924,0
925,0
926,1
927,1
928,1
929,0
930,1
931,0
932,0
933,0
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,1
945,1
946,1
947,1
948,0
949,1
950,0
951,0
952,1
953,0
954,1
955,1
956,1
957,0
958,1
959,0
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,0
968,1
969,0
970,1
971,1
972,0
973,1
974,0
975,1
976,1
977,1
978,1
979,1
980,0
981,0
982,0
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,0
991,0
992,0
993,0
994,1
995,0
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,0
1003,1
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,0
1047,1
1048,0
1049,1
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,1
1061,1
1062,1
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,0
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,1
1083,1
1084,0
1085,0
1086,0
1087,0
1088,1
1089,1
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,0
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,0
1105,0
1106,1
1107,1
1108,0
1109,1
1110,0
1111,0
1112,0
1113,0
1114,1
1115,0
1116,1
1117,0
1118,0
1119,0
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,0
1161,0
1162,0
1163,1
1164,1
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,1
1175,1
1176,0
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,1
1190,0
1191,1
1192,0
1193,1
1194,0
1195,1
1196,1
1197,1
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,0
1206,1
1207,1
1208,0
1209,0
1210,0
1211,1
1212,1
1213,1
1214,1
1215,1
1216,0
1217,0
1218,1
1219,1
1220,0
1221,0
1222,0
1223,1
1224,0
1225,0
1226,1
1227,0
1228,1
1229,0
