Id,Predicted
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,1
457,0
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,1
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,0
564,0
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,1
577,1
578,0
579,1
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,1
588,0
589,0
590,1
591,0
592,1
593,0
594,0
595,1
596,0
597,1
598,0
599,0
600,1
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,1
630,1
631,0
632,0
633,0
634,1
635,1
636,0
637,0
638,1
639,0
640,0
641,1
642,0
643,0
644,0
645,1
646,0
647,1
648,1
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,0
657,1
658,1
659,1
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,1
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,1
700,0
701,1
702,1
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,1
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,0
729,1
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,1
746,0
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,1
758,0
759,1
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,0
776,1
777,1
778,1
779,0
780,0
781,1
782,1
783,1
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,1
792,0
793,1
794,1
795,1
796,0
797,0
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,1
812,0
813,0
814,1
815,0
816,0
817,0
818,0
819,0
820,1
821,1
822,1
823,0
824,1
825,1
826,1
827,1
828,0
829,0
830,0
831,1
832,0
833,1
834,1
835,0
836,1
837,1
838,0
839,0
840,1
841,1
842,0
843,0
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,1
853,0
854,1
855,1
856,0
857,1
858,0
859,0
860,0
861,0
862,1
863,0
864,1
865,0
866,0
867,0
868,1
869,0
870,0
871,0
872,0
873,0
874,1
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,0
896,1
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,0
907,1
908,0
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,1
920,1
921,0
922,1
923,0
924,1
925,0
926,0
927,1
928,0
929,1
930,0
931,1
932,1
933,0
934,0
935,0
936,0
937,1
938,1
939,1
940,0
941,1
942,0
943,1
944,0
945,0
946,1
947,1
948,1
949,1
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,1
958,0
959,0
960,1
961,0
962,0
963,0
964,1
965,0
966,0
967,1
968,1
969,1
970,1
971,0
972,0
973,1
974,0
975,0
976,0
977,0
978,1
979,0
980,0
981,1
982,0
983,0
984,1
985,1
986,0
987,1
988,1
989,0
990,0
991,1
992,0
993,0
994,0
995,1
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,0
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,1
1030,1
1031,0
1032,1
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,0
1047,0
1048,1
1049,0
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,1
